Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Full Description,Description,Estimated Revenue Range,Operating Status,Exit Date,Exit Date Precision,Founded Date,Founded Date Precision,Company Type,Investor Type,Investment Stage,Categories,Funding Status,Last Funding Date,Number of Funding Rounds,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Number of Investors,Acquisition Status,Number of Exits (IPO),Number of Portfolio Organizations,CB Rank (Investor),Trend Score (90 Days)
Brii Biosciences,https://www.crunchbase.com/organization/brii-biosciences,1,,"San Francisco, California, United States","Brii Biosciences is committed to bringing innovative medicines to China as a way to improve public health. They bring together clinically differentiated assets to meet this challenge, supported by world-class leadership, advisors, partners, and funders. The pace of innovation has accelerated over the past decade, resulting in dramatically better treatments and cures for life-threatening diseases. Unfortunately, these innovations have not always reached China or the patients in China who need them. Breakthroughs in science and technology, and advances in digital and data capabilities, are poised to disrupt the discovery, development and delivery of medicines. At the same time, the regulatory environment in China has improved significantly. There has never been a better time to take on the challenge of transforming healthcare in the People’s Republic of China and make the latest medicines more accessible to patients.",Brii Biosciences is a biotechnology company that commits to bring innovative medicines to China as a way to improve public health.,,Active,,,1/1/2018,year,For Profit,,,"Biotechnology, Health Care, Innovation Management, Pharmaceutical",,5/24/2018,1,260000000,USD,260000000,Venture - Series Unknown,260000000,USD,260000000,260000000,USD,260000000,6,,,1,"4,587",-0.9
MRL Ventures Fund,https://www.crunchbase.com/organization/mrl-venture-fund,15,5,"Cambridge, Massachusetts, United States","The MRL Venture Fund is the Cambridge, MA – based independent venture capital investment group within Merck Research Laboratories, the R&D division of Merck & Co., Inc. MRL Ventures creates and/or invests in seed and early-stage therapeutics companies, based on translatable breakthrough science, with the potential to deliver highly differentiated new medicines to improve human health.","MRL Ventures Fund, LLC is Merck’s independent early-stage bio-therapeutics venture capital fund.",,Active,,,1/1/2004,day,,Venture Capital,"Early Stage Venture, Seed","Biotechnology, Health Care, Incubators",Early Stage Venture,5/23/2018,1,16000000,EUR,18735033,Series A,16000000,EUR,18735033,16000000,EUR,18735033,,,5,10,"2,377",-0.3
Integra LifeSciences,https://www.crunchbase.com/organization/integra-lifesciences-holdings,1,,"Plainsboro, New Jersey, United States","Integra LifeSciences Holdings Corporation (Integra) is an integrated medical device company. The products include implants, instruments and equipment for orthopedic surgery, neurosurgery and general surgery. Integra's orthopedic products include devices and implants for foot and ankle, hand and wrist, tendon and peripheral nerve protection and repair, wound repair and spine. Integra is a cranial neurosurgery, offering a portfolio of implants, devices, instruments and systems used in neurosurgery, neuromonitoring, neurotrauma, and related critical care. In the United States, Integra provides surgical instruments to hospitals, surgery centers and alternate care sites, including physician and dental offices. The Company sells products in three market categories: Orthopedics, Neurosurgery and Instruments. In May 2011, it acquired SeaSpine, Inc.",Integra LifeSciences is an integrated medical device company.,,Active,8/25/1995,day,1/1/1989,year,,,,"Biotechnology, Life Science, Medical, Medical Device",IPO,5/15/2018,1,350000000,USD,350000000,Post-IPO Equity,350000000,USD,350000000,350000000,USD,350000000,,Made Acquisitions,,1,862,4.7
Roswell Park Cancer Institute,https://www.crunchbase.com/organization/roswell-park-cancer-institute,1,,"Buffalo, New York, United States","Roswell Park Cancer Institute (RPCI), America's first cancer center founded in 1898 by Dr. Roswell Park. His revolutionary model of a “multidisciplinary approach” to cancer — with scientists and clinicians working in concert and in consult — has become the standard by which all modern-day comprehensive cancer centers are measured. RPCI is among the first and only upstate New York facility to hold the National Cancer Institute designation of ""comprehensive cancer center"" and to serve as a member of the prestigious National Comprehensive Cancer Network. Many RPCI faculty serve on the NCCN panels that create the Clinical Practice Guidelines in Oncology™ — the internationally recognized standards for clinical policy in oncology, and the most comprehensive, most frequently updated clinical practice guidelines available in any area of medicine.",Roswell Park Cancer Institute provides a multidisciplinary approach for scientists and clinicians to research on Oncology.,$10M to $50M,Active,,,1898-04-29,day,For Profit,,,"Clinical Trials, Health Care, Hospital",,5/8/2018,9,10000000,USD,10000000,Grant,66820000,USD,66820000,,,,3,,,1,"3,246",-0.1
Be Relax,https://www.crunchbase.com/organization/be-relax,,,"Paris, Ile-de-France, France",Be Relax is the world's leading airport spa with more than 48 stores across 9 countries. Be Relax provides relaxation and beauty services at the heart of airports and business around the world. Be Relax offers well-being and beauty services to airport passengers worldwide. Their services have been created by professionals and upon the promise to create a very simple and efficient airport spa service accessible to everyone before take-off. ,Be Relax is to make well-being and beauty services perfectly accessible to every passenger.,,Active,,,1/1/2004,year,For Profit,,,"Fitness, Health Care, Wellness",Private Equity,5/8/2018,1,20000000,EUR,23734731,Private Equity,20000000,EUR,23734731,20000000,EUR,23734731,1,,,,"3,696",-0.3
"Lifetech Scientific Co, Ltd",https://www.crunchbase.com/organization/lifetech-scientific-co-ltd,1,,"Shenzhen, Guangdong, China","Lifetech is a leading developer, manufacturer and vendor of advanced minimally invasive medical devices for cardiovascular and peripheral vascular diseases and disorders. Lifetech was founded in 1999 and is now the second largest provider of congenital heart defect occluders in the world, the largest provider to BRIC countries and the leading developer and manufacturer of minimally invasive medical devices in China. In 2011, Lifetech was listed on the Hong Kong Stock Exchange. Lifetech has a broad portfolio of proprietary, minimally invasive cardiovascular and peripheral medical devices.",Lifetech Scientific produces medical device solutions for cardiovascular patients.,,Active,11/18/2011,day,1/1/1999,year,For Profit,,,"Health Care, Medical, Medical Device",IPO,5/7/2018,1,,,,Post-IPO Equity,,,,,,,1,,,1,"24,516",1.3
Marigold Capital,https://www.crunchbase.com/organization/marigold-capital,3,,"Toronto, Ontario, Canada","Marigold focuses on resilient and growing North American companies that drive positive financial, operational and social prosperity outcomes for employees, actors in their value and supply chains, users, clients and customers, communities, and its investors.  Marigold Capital uses #gendersmart thinking as part of its thesis. Marigold is a Certified B Corp, is #MovingForward (our anti-harassment policy is publicly available online), is the first Canadian VC to pledge to The Billion Dollar Fund and to invest4equality, and is a member of the Canadian Venture Capital Association. The firm is one of Canada’s leading impact investors and blended finance practitioners. Marigold Capital continues to reconceive traditional finance to shift norms, remove structural barriers, and empower marginalized individuals to participate and benefit fully in society.","Backing overlooked, undervalued, underrepresented and marginalized entrepreneurs toward equity, equality & prosperity.",,Active,,,12/6/2016,day,,Micro VC,"Early Stage Venture, Seed","Digital Media, Fashion, Fertility, Food and Beverage, Health Care, Journalism, Sex Industry, Sex Tech, Supply Chain Management, Training",,5/5/2018,1,475000,CAD,369434,Grant,475000,CAD,369434,,,,1,,,3,"3,040",-4.1
Moderna Therapeutics,https://www.crunchbase.com/organization/moderna-therapeutics,1,,"Cambridge, Massachusetts, United States","Moderna Therapeutics develops messenger RNA therapeutics. Itprovides in vivo drug modality that produces human proteins or antibodies inside patient cells.  Moderna Therapeutics also develops various patent applications with various claims ranging from novel nucleotide chemistries to specific drug compositions. It focuses on disease areas, such as inherited genetic disorders, hemophilic and blood factors, and oncology.  It has strategic option agreements with AstraZeneca and Alexion Pharmaceuticals and strategic collaborations with Karolinska Institutet, Institut Pasteur, Karolinska University Hospital, and Merck.  Noubar Afeyan, Robert Langer, and Stéphane Bancel founded Moderna Therapeutics in 2010. Its headquarters is in Cambridge in Massachusetts. ",Moderna Therapeutics specializes in drug discovery and drug development based on messenger RNA.,,Active,12/6/2018,day,1/1/2010,year,For Profit,,,"Biotechnology, Genetics, Health Care, Medical, Pharmaceutical",IPO,5/3/2018,10,125000000,USD,125000000,Series H,1776600000,USD,1776600000,1724000000,USD,1724000000,20,,,1,325,5.9
Health2047,https://www.crunchbase.com/organization/health2047,1,,"Menlo Park, California, United States","Health2047 is an integrated innovation company that develops, guides, and harvests disruptive ideas that enhance healthcare at the system level.","Health2047 is a Silicon Valley innovation enterprise, developing and commercializing transformational healthcare solutions.",$1M to $10M,Active,,,1/1/2015,year,For Profit,,,"Health Care, Hospital, Wellness",,5/1/2018,2,27200000,USD,27200000,Venture - Series Unknown,42200000,USD,42200000,42200000,USD,42200000,1,,,1,"2,113",2.3
The Data Guild,https://www.crunchbase.com/organization/the-data-guild,1,,"San Francisco, California, United States","The Data Guild is a venture studio based in San Francisco, California. They help to bring data-driven products to market - whether via spinouts from the Guild itself, by working in the trenches alongside portfolio company teams, or in concert with strategic partners. They work in healthcare, life sciences, renewable energy, and climate change – complex sectors whose needs are not well-served by the existing venture ecosystem, and in which finding innovative solutions and bringing them to market is crucial for the health and sustainability of their planet and society.",The Data Guild is a venture studio connecting technical founders with the opportunity to use machine learning for social good.,$1M to $10M,Active,,,1/1/2013,year,For Profit,,,"AgTech, Analytics, Artificial Intelligence, Big Data, Energy, Environmental Engineering, Health Care, Life Science, Machine Learning, Service Industry, Venture Capital",Seed,5/1/2018,1,,,,Seed,,,,,,,3,,,1,"18,328",-0.2
